t,x,y,rho,u,v,P,e
0.182625,0.0454545,0.156566,1,0.75,0,1,2.5
0.182625,0.0454545,0.166667,1,0.75,0,1,2.5
0.182625,0.0454545,0.176768,1,0.75,0,1,2.5
0.182625,0.0454545,0.186869,1,0.75,0,1,2.5
0.182625,0.0454545,0.19697,1,0.75,0,1,2.5
0.182625,0.0454545,0.207071,1,0.75,0,1,2.5
0.182625,0.0454545,0.217172,1,0.75,0,1,2.5
0.182625,0.0454545,0.227273,1,0.75,0,1,2.5
0.182625,0.0454545,0.237374,1,0.75,0,1,2.5
0.182625,0.0454545,0.247475,1,0.75,0,1,2.5
0.182625,0.0454545,0.257576,1,0.75,0,1,2.5
0.182625,0.0454545,0.267677,1,0.75,0,1,2.5
0.182625,0.0454545,0.277778,1,0.75,0,1,2.5
0.182625,0.0454545,0.287879,1,0.75,0,1,2.5
0.182625,0.0454545,0.29798,1,0.75,0,1,2.5
0.182625,0.0454545,0.308081,1,0.75,0,1,2.5
0.182625,0.0454545,0.318182,1,0.75,0,1,2.5
0.182625,0.0454545,0.328283,1,0.75,0,1,2.5
0.182625,0.0454545,0.338384,1,0.75,0,1,2.5
0.182625,0.0454545,0.348485,1,0.75,0,1,2.5
0.182625,0.0454545,0.358586,1,0.75,0,1,2.5
0.182625,0.0454545,0.368687,1,0.75,0,1,2.5
0.182625,0.0454545,0.378788,1,0.75,0,1,2.5
0.182625,0.0454545,0.388889,1,0.75,0,1,2.5
0.182625,0.0454545,0.39899,1,0.75,0,1,2.5
0.182625,0.0454545,0.409091,1,0.75,0,1,2.5
0.182625,0.0454545,0.419192,1,0.75,0,1,2.5
0.182625,0.0454545,0.429293,1,0.75,0,1,2.5
0.182625,0.0454545,0.439394,1,0.75,0,1,2.5
0.182625,0.0454545,0.449495,1,0.75,0,1,2.5
0.182625,0.0454545,0.459596,1,0.75,0,1,2.5
0.182625,0.0454545,0.469697,1,0.75,0,1,2.5
0.182625,0.0454545,0.479798,1,0.75,0,1,2.5
0.182625,0.0454545,0.489899,1,0.75,0,1,2.5
0.182625,0.0454545,0.5,1,0.75,0,1,2.5
0.182625,0.0454545,0.510101,1,0.75,0,1,2.5
0.182625,0.0454545,0.520202,1,0.75,0,1,2.5
0.182625,0.0454545,0.530303,1,0.75,0,1,2.5
0.182625,0.0454545,0.540404,1,0.75,0,1,2.5
0.182625,0.0454545,0.550505,1,0.75,0,1,2.5
0.182625,0.0454545,0.560606,1,0.75,0,1,2.5
0.182625,0.0454545,0.570707,1,0.75,0,1,2.5
0.182625,0.0454545,0.580808,1,0.75,0,1,2.5
0.182625,0.0454545,0.590909,1,0.75,0,1,2.5
0.182625,0.0454545,0.60101,1,0.75,0,1,2.5
0.182625,0.0454545,0.611111,1,0.75,0,1,2.5
0.182625,0.0454545,0.621212,1,0.75,0,1,2.5
0.182625,0.0454545,0.631313,1,0.75,0,1,2.5
0.182625,0.0454545,0.641414,1,0.75,0,1,2.5
0.182625,0.0454545,0.651515,1,0.75,0,1,2.5
